talkIdx,Idx,skipAble,brightCharacter,Name,TextKR,TextEN,TextJP,characterLeftest,characterLeftestFace,characterLeftestX,characterLeft,characterLeftFace,characterLeftX,characterRight,characterRightFace,characterRightX,characterRightest,characterRightestFace,characterRightestX,eventType,backGround,imagePlace,imageIdx,BackSnd,SFX
1,5,0,a0000, ,만약 인형을 원래대로 되돌리고 싶다면\n같은 운명을 선택한 뒤 다시 클릭하면 됩니다!,If you want to return the doll to its original state+o\nsimply select the same Destiny and click again!,もし人形を元に戻したいなら+o\n同じ運命を選択してもう一度クリックしてください！,.,.,-125,.,.,-50,.,.,50,.,.,125,0,empty,1,97,-999,-999
1,6,0,a0000, ,도서관의 기능을 활용해서+o더 다양한 모험을 하시길 바랍니다!,I hope you enjoy even more diverse adventures using the library's features!,図書館の機能を活用して+oより多様な冒険をお楽しみください！,.,.,-125,.,.,-50,.,.,50,.,.,125,0,empty,0,0,-999,-999
2,0,1,a0000,???,…,…,…,Yongsa,black_0,-300,.,.,-100,.,.,100,.,.,125,1,black,0,0,-999,11
2,1,1,a0000,???,으으…,Ugh…,うう…,Yongsa,black_0,-180,.,.,-100,.,.,100,.,.,125,0,black,0,0,-999,-999
2,2,1,a0000,???,여긴 어디지? 아무것도 보이지 않아…,Where is here?,ここはどこだ…？ 何も見えない…,Yongsa,black_0,-150,.,.,-100,.,.,100,.,.,125,0,black,0,0,-999,-999
2,3,1,a1000,???,정신계 마법이라도 당한 건가...? 기억은 멀쩡한가?,Was I hit with mental magic...?\nIs my memory intact?,精神系の魔法でも食らったか…？ 記憶は…問題ないか？,Yongsa,black_0,-125,.,.,-100,.,.,100,.,.,125,0,black,0,0,-999,-999
2,4,1,a0000,???,…확인하자.,…Let's check.,…確かめよう。,Yongsa,black_0,-125,.,.,-100,.,.,100,.,.,125,0,black,0,0,-999,-999
2,5,1,a0000,Ail Shell,애일 쉘…,Ail Shell…,エイル・シェル…,Yongsa,eyeClose_0,-125,.,.,-100,.,.,100,.,.,125,0,black,0,0,-999,-999
2,6,1,a1000,Ail Shell,그것이 나의 이름이다.,That is my name.,それが、俺の名前だ。,Yongsa,idle_0,-125,.,.,-100,.,.,100,Witch,black_0,500,0,black,0,0,-999,12
2,7,1,a1000,Ail Shell,가족은 따로 없었고… ,I didn't have any family…,家族はいない…,Yongsa,idle_0,-125,.,.,-100,.,.,100,Witch,black_0,500,0,black,0,0,-999,-999
2,8,1,a1000,Ail Shell,그리고 분명 스캐빈저 기사단 소속의…\n안되겠다+o 중간중간 기억이 희미해.,And I was definitely part of the Scavenger Knights…\nDamn it. My memories are fading in and out.,そして、確か俺はスキャベンジャー騎士団所属の…\nダメだ、ところどころ記憶が曖昧になってる…,Yongsa,eyeClose_1,-125,.,.,-100,.,.,100,Witch,black_0,500,0,black,0,0,-999,-999
2,9,1,a1000,Ail Shell,몸도 움직이지 않고… 마치 악몽과 같은…,I can't move my body either…\nIt's like a nightmare…,体も動かない…まるで悪夢みたいだ…,Yongsa,panic_1,-125,.,.,-100,.,.,100,Witch,black_0,300,0,black,0,0,-999,-999
2,10,1,a0000,???,일… 세요..,Wa…Sir…,お…てくだ…い…,Yongsa,panic_1,-125,.,.,-100,.,.,100,Witch,black_0,125,0,black,0,0,-999,11
2,11,1,a1000,Ail Shell,뭐지? 누구야?!,What? Who is it?!,今のは？誰だ！？,Yongsa,panic_0,-125,.,.,-100,.,.,100,Witch,black_0,125,0,black,0,0,-999,-999
2,12,1,a0001,???,애일 기사님… 기상 시간입니다…,Sir Ail… It's time to wake up…,エイルさま…起床のお時間です…,Yongsa,panic_0,-125,.,.,-100,.,.,100,Witch,black_0,130,0,black,0,0,-999,12
2,13,1,a1000,Ail Shell,…?,…?,…？,Yongsa,idle_0,-125,.,.,-100,.,.,100,Witch,black_0,130,0,black,0,0,-999,18
2,14,1,a0001,???,…,…,…,Yongsa,idle_0,-125,.,.,-100,.,.,100,Witch,black_0,130,0,black,0,0,-999,-999
2,15,1,a0001,???,...안 먹히나? 분명 자극받을 만한 말을 하면 일어날 거라고 했는데?,...Didn't work?\nI was sure saying something provocative would wake him up?,…効果なし？\n刺激になるようなことを言えば、目覚めるって聞いたのに…,Yongsa,idle_0,-125,.,.,-100,.,.,100,Witch,black_0,110,0,black,0,0,-999,-999
2,16,1,a1000,Ail Shell,???,???,？？？,Yongsa,panic_1,-125,.,.,-100,.,.,100,Witch,black_0,115,0,black,0,0,-999,-999
2,17,1,a2000,Ail Shell,어이? 지금 누가 말을 걸고 있는 거야!,Hey! Who's talking to me!,今のは、誰の声だ！？,Yongsa,angry_0,-125,.,.,-100,.,.,100,Witch,black_0,125,0,black,0,0,-999,-999
2,18,1,a1000,Ail Shell,이쪽의 말은 안 들리나. 어떻게든 방법을 취해야…,Can't she hear me? I need to find a way…,こっちの声は聞こえないのか。\n何か手を考えないと…,Yongsa,doubt_0,-125,.,.,-100,.,.,100,Witch,black_0,125,0,black,0,0,-999,-999
2,19,1,a0003,???,벌써 6시인데 일어나셔서 집에 가셔야죠!,It's already 6 o'clock+o you need to go home!,もう6時ですから、 \n起きておうちに帰らないと！,Yongsa,doubt_0,-125,.,.,-100,.,.,100,Witch,black_0,125,0,black,0,0,-999,-999
2,20,1,a0001,???,...이것도 안되나? 슬슬 안 일어나면 곤란한데?!,...That didn't work either?\nIt's going to be a problem if he doesn't wake up soon?!,…これでもダメ？ \nそろそろ起きないとマズいのに！？,Yongsa,doubt_0,-125,.,.,-100,.,.,100,Witch,black_0,125,0,black,0,0,-999,-999
2,21,1,a1000,Ail Shell,자… 장난치나... 누군지는 몰라도 이쪽은 정신을 유지하는 것도 한계라고...,Are you kidding me…\nI'm barely holding onto sanity…,ふ…ふざけるな…誰か知らんが、\nこっちは意識を保つのも限界なんだぞ…,Yongsa,panic_1,-125,.,.,-100,.,.,100,Witch,black_0,125,0,black,0,0,-999,-999
2,22,1,a1000,Ail Shell,으윽… 다시 정신이…,Ugh… I'm losing…,うっ…意識がまた…,Yongsa,panic_0,-140,.,.,-100,.,.,100,Witch,black_0,125,0,black,0,0,-999,11
2,23,1,a0000,Ail Shell,아득해진…,consciousness again…,遠のいていく…,Yongsa,eyeClose_0,-160,.,.,-100,.,.,100,Witch,black_0,125,0,black,0,0,-999,-999
2,24,1,a0001,???,…이렇게 된 이상 이판사판이다.,…That's it+o I'm going all in.,…もうこうなったら、やるしかない。,Yongsa,eyeClose_0,-180,.,.,-100,.,.,100,Witch,black_0,125,0,black,0,0,-999,-999
2,25,1,a0001,???,일어나세요. 용사여… 세계가 당신의 도움을 필요로 합니다…,Wake up+o hero… The world needs your help…,起きてください…勇者さま…\n世界があなたの力を必要としています…,Yongsa,eyeClose_0,-200,.,.,-100,.,.,100,Witch,black_0,100,0,black,0,0,-999,12
2,26,1,a1000,Ail Shell,…,…,…,Yongsa,idle_0,-150,.,.,-100,.,.,100,Witch,black_0,125,0,black,0,0,-999,-999
2,26,1,a1000,Ail Shell,아니… 애도 아니고…,Seriously…?,いや…そんな子ども騙しに…,Yongsa,panic_0,-140,.,.,-100,.,.,100,Witch,black_0,125,0,black,0,0,-999,-999
2,26,1,a1000,Ail Shell,저런 거에 자극받을 리…,Even so… There's no way I'd be affected by…,そんな台詞で、俺が反応するわけが…,Yongsa,doubt_0,-125,.,.,-100,.,.,100,Witch,black_0,125,0,black,0,0,-999,-999
2,26,1,a1000,Ail Shell,으엇?! 몸이?!?!?!,Huh?! My body?!?!?!,うわっ！！体が！？！？,Yongsa,panic_0,0,.,.,-100,.,.,100,Witch,black_0,125,0,black,0,0,-999,11
2,28,1,a1000,Ail Shell,으… 으아아악!!!,Ugh… Ughaaaa!!!,う、うわああああっ！！！,Yongsa,panic_0,500,.,.,-100,.,.,100,Witch,black_0,300,0,white,0,0,-999,13
2,27,1,a2000,Ail Shell,(벌떡!),(crea--k!!),（ガバッ！）,Yongsa,panic_0,0,.,.,-100,.,.,100,.,.,300,1,home,1,103,-999,-999
2,28,1,a1000,Ail Shell,…나,…I,…俺、,Yongsa,panic_0,0,.,.,-100,.,.,100,Witch,black_0,300,0,home,0,0,-999,-999
2,29,1,a1000,Ail Shell,나 저런 유치한 대사에 자극받은 거야?!,I was affected by such a cheesy line?!,まさか、\nあんな幼稚な台詞に反応したのか…！？,Yongsa,panic_3,0,.,.,-100,.,.,100,Witch,black_0,200,0,home,0,0,-999,-999
2,30,1,a1000,Ail Shell,으… 이 나이 먹고 무슨 주책…,What am I doing at my age…,…この歳になって、何をやってるんだか…,Yongsa,panic_1,-50,.,.,-100,.,.,100,Witch,black_0,200,0,home,0,0,-999,16
2,31,1,a0001,???,(스윽),(Sneaks),（スーッ）,Yongsa,doubt_0,-100,.,.,-100,.,.,100,Witch,idle_0,125,0,home,0,0,-999,17
2,32,1,a1000,Ail Shell,…,…,…,Yongsa,idle_0,-125,.,.,-100,.,.,100,Witch,idle_0,125,0,home,0,0,-999,-999
2,33,1,a1000,Ail Shell,…거기 누구냐.,…Who's there?,…そこにいるのは誰だ。,Yongsa,doubt_0,-100,.,.,-100,.,.,100,Witch,idle_0,125,0,home,0,0,-999,2
2,34,1,a0001,???,...드디어,...Finally.,…ついに,Yongsa,doubt_0,-100,.,.,-100,.,.,100,Witch,eyeClose_1,100,0,home,0,0,-999,-999
2,35,1,a1000,Ail Shell,?,?,？,Yongsa,idle_0,-100,.,.,-100,.,.,100,Witch,eyeClose_1,100,0,home,0,0,-999,-999
2,36,1,a0003,???,드디어 일어났다!,Finally awake!,ついに起きた！,Yongsa,panic_0,-150,.,.,-100,.,.,100,Witch,smile_2,0,0,home,0,0,-999,-999
2,37,1,a1000,Ail Shell,????,????,？？？？,Yongsa,panic_0,-125,.,.,-100,.,.,100,Witch,smile_2,0,0,home,0,0,1,-999
2,38,1,a0001,???,몸은 어때요? 저 알아보시겠어요?,How's your body? Can you recognize me?,お体の調子は？ \n私のこと、分かりますか？,Yongsa,panic_0,-140,.,.,-100,.,.,100,Witch,happy_0,-25,0,home,0,0,1,17
2,39,1,a0001,???,많이 어려진 거 같은데 부작용인가? 어쩌면 불로불사가 된건가?,You look a lot younger+o is that a side effect?\nMaybe you've become immortal?,だいぶ若返ったように見えるんですが…\n副作用かな？ もしかして不老不死に…？,Yongsa,panic_0,-160,.,.,-100,.,.,100,Witch,shine_0,-60,0,home,0,0,1,17
2,40,1,a1000,Ail Shell,저… 저기…,U-Um…,あ、あの…,Yongsa,panic_1,-150,.,.,-100,.,.,100,Witch,shine_0,-60,0,home,0,0,1,-999
2,41,1,a0003,???,혹시 신체 측정해도 될까요?,Can I took your measurements?,一瞬、身体測定をしても…いいですか？,Yongsa,panic_0,-200,.,.,-100,.,.,100,Witch,smile_2,-80,0,home,0,0,1,-999
2,42,1,a2000,Ail Shell,잠깐!!!,Wait!!!,ちょっと待った！！！,Yongsa,panic_0,0,.,.,-100,.,.,100,Witch,panic_0,50,0,home,0,0,1,16
2,43,1,a0001,???,에…?,Eh…?,え…？,Yongsa,panic_0,-30,.,.,-100,.,.,100,Witch,panic_0,50,0,home,0,0,1,-999
2,44,1,a1000,Ail Shell,(내 몸이 왜 이래! 어려졌잖아?! 저 마녀는 또 누구고?),(I've become younger?!\nAnd who is that witch?),（な、なんだこの身体！？\n若返ってるだと？？あの魔女は一体何者だ？？）,Yongsa,panic_1,-80,.,.,-100,.,.,100,Witch,idle_0,60,0,home,0,0,1,-999
2,45,1,a1000,Ail Shell,(…하아. 일단 진정하자. 일단은 상황파악이 먼저야.),(…Okay. Calm down.\nFirst+o I need to figure out what's going on.),（…はぁ、落ち着け。\nまずは状況を把握するのが先だ。）,Yongsa,eyeClose_1,-80,.,.,-100,.,.,100,Witch,idle_0,60,0,home,0,0,1,-999
2,46,1,a1000,Ail Shell,누구랑 착각한 건지 모르겠지만 난 네가 누군지 몰라. 우린 완전히 초면이라고.,I don't know who you're mistaking me for+o but I don't know you.\nWe're complete strangers.,勘違いかもしれないが、\n俺は君のことを知らない。まったくの初対面だ。,Yongsa,doubt_0,-100,.,.,-100,.,.,100,Witch,panic_0,60,0,home,0,0,1,-999
2,47,1,a1000,Ail Shell,깨우려고 고생 좀 한 거 같은데 미안하네.,Sorry you had to go through\nso much trouble to wake me up.,目覚めさせようと苦労したみたいだが、\n悪かったな。,Yongsa,say_0,-125,.,.,-100,.,.,100,Witch,panic_0,60,0,home,0,0,1,-999
2,48,1,a0001,???,…,…,…,Yongsa,say_0,-125,.,.,-100,.,.,100,Witch,idle_0,80,0,home,0,0,1,-999
2,49,1,a0001,???,그런가요…,I see…,そうなんですね…,Yongsa,say_0,-125,.,.,-100,.,.,100,Witch,eyeClose_1,100,0,home,0,0,1,16
2,50,1,a1000,Ail Shell,…심란할 텐데 미안하지만,…I'm sorry to bother you\nwhen you're upset+o but…,…混乱してるところ悪いけど,Yongsa,eyeClose_0,-125,.,.,-100,.,.,100,Witch,eyeClose_0,100,0,home,0,0,1,-999
2,51,1,a1000,Ail Shell,혹시 상황 설명을 부탁해도 될까?,Could you explain the situation to me?,状況を説明してもらえるか？,Yongsa,idle_0,-100,.,.,-100,.,.,100,Witch,idle_0,100,0,home,0,0,1,-999
2,52,1,a1000,Ail Shell,왜인지 모르겠지만 기억이 희미해서 말이야.,I don't know why+o\nbut my memory is hazy.,理由は分からないけど、\n記憶がぼんやりしててな。,Yongsa,say_0,-90,.,.,-100,.,.,100,Witch,idle_0,100,0,home,0,0,1,-999
2,53,1,a0001,???,…그렇겠네요.,…I suppose so.,…そうかもしれませんね。,Yongsa,say_0,-90,.,.,-100,.,.,100,Witch,eyeClose_0,125,0,home,0,0,1,-999
2,54,1,a0001,???,제가 너무 성급했던 것 같아요. 우선 자기 소개부터 할게요.,I think I was too hasty.\nI should introduce myself first.,私、少し焦ってたみたいです。\nまずは自己紹介からですね。,Yongsa,say_0,-90,.,.,-100,.,.,100,Witch,say_0,125,0,home,0,0,1,-999
2,55,1,a0001,Grin,제 이름은 그린이에요. 쓰러져있는 당신을 보호하고 있었죠.,My name is Grin.\nI've been protecting you while you were unconscious.,私はグリンといいます。\n倒れていたあなたを守っていました。,Yongsa,idle_0,-110,.,.,-100,.,.,100,Witch,smile_1,100,0,home,0,0,1,-999
2,56,1,a1000,Ail Shell,보호…? 쓰러져있었다고?,Protecting…? Unconscious?,守る…？倒れていたのか？,Yongsa,doubt_0,-100,.,.,-100,.,.,100,Witch,smile_1,100,0,home,0,0,1,-999
2,57,1,a0001,Grin,네! 일단은 제가 당신의…,Yes. Well… For now+o I'm your…,はい。えっと…とにかく私はあなたの…,Yongsa,doubt_0,-100,.,.,-100,.,.,100,Witch,lie_0,100,0,home,0,0,1,-999
2,58,1,a0001,Grin,딸…? 동거인이라고 해야하나?,...Daughter? Companion is probably more accurate?,…娘？\n相棒…って言えばいいのかな？,Yongsa,panic_1,-100,.,.,-100,.,.,100,Witch,panic_0,90,0,home,0,0,1,-999
2,59,1,a0002,Grin,아무튼 가족이니까요!,After all+o we are family!,とにかく、家族だったんです！,Yongsa,panic_0,-100,.,.,-100,.,.,100,Witch,smile_2,80,0,home,0,104,1,-999
2,60,1,a1000,Ail Shell,…,…,……,Yongsa,panic_0,-125,.,.,-100,.,.,100,Witch,smile_2,125,0,home,0,0,1,-999
2,61,1,a1000,Ail Shell,…,…,……,Yongsa,eyeClose_0,-125,.,.,-100,.,.,100,Witch,smile_2,125,0,home,0,0,1,-999
2,62,1,a1000,Ail Shell,…,…,……,Yongsa,smile_0,-150,.,.,-100,.,.,100,Witch,smile_2,125,0,home,0,0,1,17
2,63,1,a0001,Grin,...?,…?,…？,Yongsa,smile_0,-200,.,.,-100,.,.,100,Witch,idle_0,125,0,home,0,0,1,18
2,64,1,a0001,Grin,어… 왜 창가 쪽으로 가시는?,Um… Why are you going towards the window?,あの、どうして窓側に…？,Yongsa,smile_0,-250,.,.,-100,.,.,100,Witch,say_0,80,0,home,0,0,1,-999
2,65,1,a1000,Ail Shell,흐아압!!!,Haaap!!!,ふんぬっ！！！,Yongsa,angry_0,0,.,.,-100,.,.,100,Witch,panic_0,500,0,home,0,0,1,-999
2,66,1,a1000, ,(쨍그랑!),(Shatter!),（ガシャーン！）,Yongsa,angry_0,-500,.,.,-100,.,.,100,Witch,panic_0,500,0,home,0,0,1,15
2,67,1,a0000, , , , ,.,.,-125,.,.,-100,.,.,100,.,.,500,0,home,1,3,1,-999
2,68,1,a0000,Grin,꺄아아악!!!,Kyaaaa!!!,きゃあああっ！！！,.,.,-125,.,.,-100,.,.,100,.,.,500,0,home,2,3,1,-999
2,69,1,a0000,Grin,지금 뭐하시는… 어디 가세요!!,What are you… Where are you going!!,一体何を… どこ行くんですか！？,.,.,-125,.,.,-100,.,.,100,.,.,125,0,home,2,3,1,-999
2,70,1,a0000,Ail Shell,너 같으면 도망 안가겠냐!,I've never seen someone like you before!,君みたいな奴、俺は見たこともないぞ！,.,.,-125,.,.,-100,.,.,100,.,.,125,0,home,2,3,1,-999
2,71,1,a0000,Ail Shell,말도 안되는 것도 정도가 있지!!!,You've picked the wrong person to deceive. Witch!,騙す相手を間違えたな、この魔女め！,.,.,-125,.,.,-100,.,.,100,.,.,125,0,home,2,3,1,-999
2,72,1,a0000,Ail Shell,(내가 정신이 나갔지. 아무리 혼란스러워도 마녀한테 정보를 얻으려고 하다니.),(I've lost my mind.\nEven if I'm confused+o how could I try to get information from a witch?),（冷静になれ…どんなに混乱してても、\n魔女に情報を求めるなんて正気の沙汰じゃない…）,.,.,-125,.,.,-100,.,.,100,.,.,125,0,home,2,3,1,-999
2,73,1,a0000,Grin,아 안돼! 으… 으아아악!!!,Ah+o no! Ugh… Ughaaa!!!,あ、あぶない！うぅ…きゃあああっ！！！,.,.,-125,.,.,-100,.,.,100,.,.,125,0,home,2,3,1,-999
2,74,1,a0000,Grin,창문이...! 애일 씨가…! 내 숙소가…!!!,Window…! Ail! Our home…!!!,窓が…！エイルさんが…！\n私の部屋が…！！！,.,.,-125,.,.,-100,.,.,100,.,.,125,0,home,2,3,1,-999
2,75,1,a0000,Grin,…,…,……,.,.,-500,.,.,-100,.,.,100,Witch,black_0,500,0,home,0,0,1,-999
2,76,1,a0000,Grin,하… 하하…,Haha…,は…はは…,.,.,-500,.,.,-100,.,.,100,Witch,panic_0,130,0,home,0,0,1,-999
2,77,1,a0001,Grin,뭔가 꼬일 것 같긴 했는데… 설마 이 정도일 줄이야…,I thought something might go wrong…\nBut I didn't think it would be this bad…,嫌な予感はしてたけど…\nまさかここまでとは…,.,.,-500,.,.,-100,.,.,100,Witch,panic_0,110,0,home,0,0,1,-999
2,78,1,a0001,Grin,…,…,……,.,.,-500,.,.,-100,.,.,100,Witch,eyeClose_0,125,0,home,0,0,-999,-999
2,79,1,a0001,Grin,뭐 상관없어…,Well+o it doesn't matter…,ま、いいけど…,.,.,-500,.,.,-100,.,.,100,Witch,smile_0,180,0,home,0,0,-999,-999
2,80,1,a0001,Grin,마을 어디로 도망치든...,No matter where he runs in the village...,村のどこに逃げたとしても…,.,.,-500,.,.,-100,.,.,100,Witch,say_0,500,0,home,0,0,-999,17
2,81,1,a0000,Grin,찾을 방법은 있으니까.,I have ways of finding him.,探し出す方法なら、あるから。,.,.,-500,.,.,-100,.,.,100,.,.,125,0,black,0,0,-999,-999
3,0,1,a0000, ,(저벅… 저벅…),(Thud... Thud...),（ザッ…ザッ…）,Yongsa,black_0,-500,.,.,-100,.,.,100,.,.,125,0,empty,0,0,-999,17
3,1,1,a1000,Ail Shell,허억 허억…,Huff... Huff...,はぁ…はぁ…,Yongsa,panic_0,-100,.,.,-100,.,.,100,.,.,125,0,empty,0,0,-999,-999
3,2,1,a0000,Ail Shell,이 정도면 꽤 멀리 온건가?,Have I come far enough?,かなり遠くまで来た気が…,Yongsa,panic_1,-150,.,.,-100,.,.,100,.,.,125,0,empty,0,0,-999,-999
3,3,1,a1000,Ail Shell,…뭐냐고. 깨어나보니 기억은 없고 몸은 어려져 있고…,What is this?\nI wake up with no memories and a younger body...,…なんだこれは。目が覚めたら記憶はなく、\n体は若返っていて…,Yongsa,panic_1,-125,.,.,-100,.,.,100,.,.,125,0,empty,0,0,-999,-999
3,4,1,a0000,Ail Shell,처음 보는 마을. 하늘에 쳐져있는 먹구름과 마법 장벽…,Village I've never seen before...\nDark clouds hanging in sky and magical barrier...,見たこともない村、\n空に垂れ込める黒雲や魔法障壁…,Yongsa,panic_0,-115,.,.,-100,.,.,100,.,.,125,0,empty,0,0,-999,-999
3,4,1,a0000,Ail Shell,마법사가 흔하지는 않으니… 필시 방금 본 마녀의 짓일 거고.,Wizards aren't common…\nIt must be work of witch I just saw.,魔法使いなんてそうそういるもんじゃないし…\n間違いなく、さっきの魔女の仕業だ。,Yongsa,doubt_0,-125,.,.,-100,.,.,100,.,.,125,0,empty,0,0,-999,-999
3,5,1,a0000,Ail Shell,설마 공간 째로 갇힌 건 아니겠지?,Could I be trapped in an entire space?,まさか空間ごと閉じ込められた…\nなんてことはないよな？,Yongsa,panic_1,-135,.,.,-100,.,.,100,.,.,125,0,empty,0,0,-999,-999
3,6,1,a1000,Ail Shell,...일단은 높은 곳으로 가서 현재 위치를 확인하자.,...First+o let's go somewhere high to check my location.,…まずは高いところに登って、\n現在位置を確認しよう。,Yongsa,eyeClose_1,-125,.,.,-100,.,.,100,.,.,500,0,empty,1,1,-999,-999
3,7,1,a1000,Ail Shell,저쪽에 보이는 탑이면 충분하겠지.,That tower over there should be good enough.,あそこに見える塔で十分だろう。,Yongsa,say_0,-100,.,.,-100,.,.,100,.,.,500,0,empty,2,1,-999,-999
3,8,1,a2000,Ail Shell,좋아. 가만히 있어봤자 바뀌는 건 없어.,Alright. Nothing change if I just stand still.,よし。じっとしてても何も変わらん。,Yongsa,eyeClose_0,-125,.,.,-100,.,.,100,.,.,300,0,empty,0,0,-999,-999
3,9,1,a0000,Ail Shell,일단 움직여 보자!,Let's move!,とにかく動いてみるか！,Yongsa,say_0,-125,.,.,-100,.,.,100,.,.,125,0,empty,0,0,-999,17
4,0,1,a0000,???,…후후 탑으로 향할 생각이시군요.,Hehe... So+o you're planning to head to the tower.,…ふふ、塔へ向かうおつもりなんですね。,Witch,black_0,-500,.,.,-100,.,.,100,.,.,125,0,empty,0,0,-999,-999
4,1,1,a1000,???,그 정도야 마법으로 쉽게 유도할 수 있죠.,That's easily manipulated with my magic.,それくらいなら、\n魔法で簡単に誘導できますよ。,Witch,black_0,-125,.,.,-100,.,.,100,.,.,125,0,empty,0,0,-999,-999
4,2,1,a1000,???,좋아. 분명 아래에서 사람을 선택하고...,Okay. Just select a person from below...,さて、確か…下で人を選んで…,Witch,black_0,0,.,.,-100,.,.,100,.,.,125,0,empty,0,0,-999,-999
4,3,1,a1000,???,주사위를 굴리는 거였죠?,And roll the dice+o right?,サイコロを振るんでしたよね？,Witch,black_0,125,.,.,-100,.,.,100,.,.,125,0,empty,0,0,-999,-999
4,4,1,a2000,???,잘 모르겠지만 일단 해보죠!,I'm not sure+o but let's try it!,よく分かりませんけど、とりあえずやってみましょう！,Witch,black_0,500,.,.,-100,.,.,100,.,.,125,0,empty,0,0,-999,-999
5,0,1,a0000,Ail Shell,…,...,……,Yongsa,idle_0,-500,.,.,-100,.,.,100,.,.,125,0,empty,0,0,-999,-999
5,1,1,a1000,Ail Shell,…뭐지?,Something is wrong...,…なんだ？,Yongsa,doubt_0,-125,.,.,-100,.,.,100,.,.,125,0,empty,0,0,-999,18
5,2,1,a1000,Ail Shell,…분명 더 빨리 갈 수 있었던 것 같은데…?,...I could have sworn I could have gone faster...?,…もっと早く行けるはずだった気がするんだが…？,Yongsa,panic_2,-115,.,.,-100,.,.,100,.,.,125,0,empty,0,0,-999,-999
5,3,1,a0000,Goblin,크아앙!,Kroaaang!,グルァァン！,Yongsa,panic_2,-140,.,.,-100,.,.,100,.,.,125,0,empty,0,0,-999,-999
5,4,1,a1000,Ail Shell,뭐지…,Why...,なんだ…,Yongsa,panic_1,-125,.,.,-100,.,.,100,.,.,125,0,empty,0,0,-999,-999
5,5,1,a1000,Ail Shell,피해 갈 생각이었던 몬스터랑은 왜 대치하고 있는 거지…?,Why am I confronting the monsters\nI was planning to avoid...?,避けて通るつもりだったモンスターと、\nなんで向かい合ってるんだ俺は…？,Yongsa,angry_0,-115,.,.,-100,.,.,100,.,.,125,0,empty,0,0,-999,-999
5,6,1,a0000,Goblin,크아아앙!!!,Kroaaaang!!!,グルアアアアン！！！,Yongsa,angry_0,-140,.,.,-100,.,.,100,.,.,125,0,empty,0,0,-999,-999
5,7,1,a1000,Ail Shell,으아악!! 온다!,Aaaah!! Coming!,うわっ！！ 来るっ！,Yongsa,panic_0,-125,.,.,-100,.,.,100,.,.,125,0,empty,0,0,-999,-999
6,0,1,a0000,???,…,...,……,Witch,black_0,-500,.,.,-100,.,.,100,.,.,125,0,empty,0,0,-999,-999
